Country,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,latitude,longitude
Bahrain,1001.03,1232.47,1371.92,1513.92,1614.61,1549.72,1573.89,1580.38,1543.03,1557.71,1404.79,26.020458,50.551925
Egypt,4443.08,4314.81,4198.38,4161.93,4543.23,4816.48,4537.7,3828.92,3762.12,3743.67,4015.8,26.42231,29.227089
Iran,18199.64,15707.62,16353.5,13169.69,13131,13961.68,16028.49,18034.18,15257.26,12528.45,12150.79,31.931398,55.245317
Iraq,4407.04,4748.9,4318.22,7962.2,6930.65,9492.68,5941.91,7380.17,6269.56,7598.83,6994.39,32.765286,43.614805
Israel,15747.37,15918.37,16240.45,16738.17,18007.6,18257.3,19212.79,20053.4,20074.1,20504.38,21065.02,30.902941,34.860794
Jordan,1956.77,1923.07,1699.27,1590.36,1656.73,1742.67,1924.38,2041.7,1972.65,2032.11,2082.92,30.802278,36.391378
Kuwait,5174.42,5912.75,6398.62,6053.98,6042.13,6085.68,6655.01,6863.85,7203.46,7373.52,6940.12,29.422226,47.330015
Lebanon,2037.52,1991.39,2018.52,2121.31,2442.42,2503.29,2937.55,2669.2,2861.3,2521.25,1036.06,34.095838,35.95658
Oman,4168.1,5456.71,9805.14,9195.64,8528.58,7817.42,8144.65,6871.8,7575.47,6551.04,6662.88,22.113184,57.345652
Saudi Arabia,53569.45,54297.08,61449.29,70406.45,82987.4,88520.21,63336.95,70620.6,72918.27,61952,55534.56,23.806678,44.700847
Turkey,10942.6,11036.47,11307.32,11612.44,11697.17,12036.42,14111.9,15146.57,19225.19,20603.38,19567.21,39.339547,34.51052
Algeria,5349.02,7655.34,8055.66,8701.43,10021.18,10484.03,10515.32,9958.53,9550.71,10303.6,9957.84,27.89689,3.379277
Libya,0,0,7016.31,9146.58,8463.89,0,0,0,0,0,0,26.666955,18.030248
Morocco,3094.84,3117.4,3341.61,3817.6,3785.33,3494.91,3516.2,3619.63,3641.02,3721.32,4794.03,31.649504,-7.189711
Tunisia,433.72,517.38,522.62,575.38,687.42,820.11,873.23,810.67,813.92,1000.92,1046.12,33.687264,9.007775
